id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000gYOj,1000,1300,1000,03456010,32.095,38.485,40.423,3100,31001_1000,8.328,Isterberg,2,Feldstraße,5.9560546875,1564.9128828840164
DENILD800000a26R,1000,1300,1000,03456018,30.8,33.383,33.383,1000,31001_2000,2.583,Quendorf,NA,NA,31.833984375,86.89495742099993
DENILD800000gYS8,1000,1300,1000,03456010,33.33,40.875,40.875,1000,51003_1201,7.545,Isterberg,NA,NA,3.7890625,28.51288321062501
DENILD800000gYPg,1000,1300,1000,03456010,33.128,35.475,37.374,5000,31001_2000,4.246,Isterberg,NA,NA,31.9501953125,1002.0090143731684
DENILD800000a23t,1000,1300,1000,03456018,30.97,53.238,55.331,3100,31001_2720,24.361,Quendorf,NA,NA,44.349609375,1034.0184389726483
DENILD800000hF74,1000,1300,1000,03456010,31.536,35.127,35.127,1000,31001_2000,3.591,Isterberg,NA,NA,327.759765625,1177.0435207969892
DENILD800000gYP7,1000,1300,1000,03456010,32.562,35.795,35.795,1000,31001_2000,3.232,Isterberg,NA,NA,47.5830078125,153.8362237333967
DENILD800000p6Ug,1000,1300,1000,03456018,32.851,37.589,38.355,3100,31001_2720,5.504,Quendorf,NA,NA,60.037109375,307.46234196109185
DENILD800000a29f,1000,1300,1000,03456018,30.8,32.965,34.208,3100,31001_2720,3.408,Quendorf,NA,NA,58.46484375,162.93147303265948
DENILD800000jgRF,1000,1300,1000,03456018,30.744,50.34,51.829,5000,51009_1610,21.085,Quendorf,NA,NA,24.58984375,499.59989031321567
DENILD800000p6Ui,1000,1300,1000,03456018,31.6,35.496,36.956,3100,31001_2720,5.356,Quendorf,NA,NA,77.10546875,323.5481726703835
DENILD800000gYQ4,1000,1300,1000,03456010,32.507,35.237,36.983,3100,31001_2000,4.477,Isterberg,NA,NA,159.9501953125,576.8425131754692
DENILD800000a210,1000,1300,1000,03456018,31.634,33.967,36.146,3100,31001_2720,4.512,Quendorf,NA,NA,37.0009765625,126.7983056317461
DENILD800000jeDb,1000,1300,1000,03456010,32.383,36.687,37.875,2100,51009_1610,5.492,Isterberg,NA,NA,13.6552734375,58.771749883376636
DENILD800000a26u,1000,1300,1000,03456018,30.775,35.107,38.774,5000,31001_2720,7.999,Quendorf,NA,NA,6.603515625,1129.3767719630957
DENILD800000a26W,1000,1300,1000,03456018,31.431,34.168,34.168,1000,31001_2500,2.737,Quendorf,NA,NA,11.046875,30.235217502249025
DENILD800000a28l,1000,1300,1000,03456018,32.504,35.944,39.73,3100,31001_2100,7.226,Quendorf,NA,NA,43.0361328125,229.51912319974278
DENILD800000lWJs,1000,1300,1000,03456018,32.219,39.469,39.469,1000,51003_1201,7.25,Quendorf,NA,NA,3.3046875,24.042580495623913
DENILD800000jeDg,1000,1300,1000,03456018,31.718,35.352,35.847,2100,51009_1610,4.129,Quendorf,NA,NA,21.455078125,77.97745861458336
DENILD800000gYMh,1000,1300,1000,03456010,32.253,37.041,40.332,3100,31001_1000,8.079,Isterberg,2,Am Isterloh,8.0556640625,1066.1965167736598
DENILD800000lv9v,1000,1300,1000,03456010,31.328,33.668,33.668,1000,31001_2000,2.339,Isterberg,NA,NA,25.2587890625,59.10327071762576
DENILD800000lv9k,1000,1300,1000,03456010,31.298,35.201,35.201,1000,31001_2720,3.903,Isterberg,NA,NA,61.265625,239.12808290713596
DENILD800000lv9m,1000,1300,1000,03456010,31.626,33.826,34.319,3100,51009_1610,2.692,Isterberg,NA,NA,6.0126953125,14.712481485822448
DENILD800000a21T,1000,1300,1000,03456018,36.541,39.204,42.857,3100,31001_2720,6.316,Quendorf,NA,NA,59.7880859375,268.4892290324428
DENILD800000a2am,1000,1300,1000,03456018,31.844,36.966,41.255,3100,31001_1000,9.411,Quendorf,152,Nordhorner Straße,10.9150390625,1057.1117269013375
DENILD800000a22I,1000,1300,1000,03456018,32.15,36.565,41.814,3100,31001_2720,9.664,Quendorf,NA,NA,147.025390625,3106.4380182839986
DENILD800000jezg,1000,1300,1000,03456010,32.933,34.47,34.47,1000,51009_1610,1.537,Isterberg,NA,NA,5.380859375,8.269616395963835
DENILD800000orpW,1000,1300,1000,03456018,31.473,34.505,34.505,1000,51009_1610,3.033,Quendorf,NA,NA,6.3701171875,19.314250840145498
DENILD800000a27f,1000,1300,1000,03456018,31.471,34.338,34.338,1000,31001_2720,2.866,Quendorf,NA,NA,61.7666015625,177.08411827996872
DENILD800000hZgv,1000,1300,1000,03456010,32.563,35.886,35.886,1000,51009_1610,3.323,Isterberg,NA,NA,3.0615234375,10.172066864940973
